Comment,Sentiment
Андрей да я тоже думал над этим вопросом упаковки не всегда есть время и материал чтобы упаковать хорошо и у меня возникла такая идея если в транспортной компании будут пластиковые контейнера разных размеров в которые можно поместить груз опечатать и отправить контейнера лёгкие и прочные их легче грузить и складывать ну вот надо человеку отправить люстру и он конечно хорошо старается упаковать её но этого мало этот груз очень хрупкий и требует жёсткой упаковки уважаемые Деловые линии может вам понравится такая идея меньше жалоб о испорченом грузе даволные клиенты,positive
Груз был утерян в сентябре оформили претензию пришел ответ что груз найден Идёт третий месяц бесконечных и бесполезных переписок  запросили возврат груза нам отправителю и ничего Якобы переместили на терминал Север хотели доставить нам  декабря но он не влез в машину Груз негабаритный но это не новость Ещё неделя переписок в чатах вечный ответ С вами свяжутся все согласуют Прошла ещё неделя толку никакого Волшебная клиентоориентированность и забота о грузах,negative
Мой вопрос решилиспасибо,neutral
хорошая статья,positive
Подразделения открывают а наладить работу не могут Только деловые линии Позволяют себе не предоставлять подтверждение о доставке груза Давнымдавно уже у транспортных компаний в личном кабинете видно кто когда и во сколько получил груз Но в деловых Эту информацию можно ждать неделю обрывать телефон каждый день и слышать одно и тоже  запрос отправлен в архив Ждите Как будто от этого легче Начинаю жалеть о работе с данной компанией,negative
Здравствуйте Мария Гладкова  Сегодня отправил,neutral
На фото  груз упакованный нами  И на него же сделали ДОП упаковку Можно получить ответ  почему ,neutral
Эта компания ворует персональные данные,negative
Добрый вечер Посмотрите как ездит водитель фуры вашей компании Это было сегодня   года Трасса М не доезжая моста Щербаково гКазань в сторону Набережных Челнов Время  В машине находились дети хлет Если бы не правильные действия водителя легкового автомобиля могла произойти беда Он мог задеть фуру или отбойник Дети очень испугались Просим принять меры,neutral
Совершенно безответственная компания  дерут за каждый пункт деньги и в итоге что  Где мой груз ,negative
вот уже в течении полугода пытаюсь объяснить менеджеру как ПРАВИЛЬНО заполнить счет и счет фактуруакт выполненных работ Высылал образцы заполнения Выписку из ЕГРЮЛ и письмо с разъяснениями все как будто впустую,negative
Нужно было отправить срочно коробки заказала на следующий день вчера заказала на сегодня Сегодня выясняется что отменили доставку потому что мне не дозвонились Никаких звонков мне не поступало могу предоставить все звонки на мой телефон хотя оператор утверждает обратное теперь изза вашей недобросовестности не знаю что делать,negative
Сколько можно терпеть враньё ваших специалистов Почему никто не может ответить где находится часть груза,Negative
Я повторю Мне четырежды соврали за сутки специалисты неуважаемой недокомпании неДеловые линии Нашли недостающую часть груза на складе получения Нашли недостающую часть груза на складе получения минус одно место Нашли недостающую часть груза на складе получения минус  мест Менеджер перезвонит вам сегодня в рабочее время Зачем мы заплатили за заполечивание если компания на свое усмотрение располетила груз в Москве и теперь не может найти  мест грузаСрок доставки по адресу г Где мои вещи,negative
МарияМария Извинения не принимаются Те проблемы которые вы мне создали своей безответственностью и ложью вашими извинениями не компенсируются А ведь всё могло быть иначе если бы менеджер перезвонила вчера до  Увы Клиент для вашей компании  не человек а средство заработка,negative
Ужасная компания Во первых проверяйте сразу все пункты платных услуг в накладной во вторых деньги которые вы заплатили даже если что то произойдет с грузом или просто специалист включит вам то что вы не хотели вы не вернете никогда,negative
замечательная новость актуально,positive
Здравствуйте Завтра должна была быть поставка на склад Вайлдберис Электросталь Сегодня машина с моим грузом так и не пришла в Ногинск Соответственно поставка  числа на склад Вайлдберис срывается Менеджеры по телефону говорят что я не могу согласовать изменение даты поставки пока груз числится В пути Что мне делать Я даже не могу узнать где мой груз,negative
Заказ   Где находится мой груз Почему на сайте вы скрыли даты перевозки Почему ваши сотрудники по телефону не могут дать никакой информации о местонахождении груза и сроках его доставки Почему местоположение груза не отслеживается И почему со мной до сих пор не связался ваш менеджер  ответственный за потери грузов и провалы по срокам доставки,negative
хорошая подборка,positive
 Товар отправлен   привезли одно место из двух Составлен акт На сайте ст атус накладной  доставлено Обещали довезти  Неделя закончилась Что дальше,neutral
отличная новость,positive
безалаберная организация сами накосячили увезли груз в другой город по письму груз не вернулиа прокатали по всей России и отправили на первоначальный адрес мало того пытаются получить оплату за эти покатушки и при этом блокируют к выдаче совершенно другие отправки операторы некомпетентные говорят все нормально и все ограничения сняты по факту не меняется ничего  месяца,negative
Супер новость ДЛ рулит,positive
молодцы,positive
Хотите сюрприз в виде неожиданного и неадекватного изменение цены при оплате получателем Хотите  месяца ждать ответ на ваше обращение Хотите заплатить лишние несколько тысяч за хранение потому что Деловые линии вместо трех дней решают ваш вопрос  день Обращайтесь в Деловые линии Они организуют вам бесконечный поток проблем,negative
очень интересный вебинар,positive
Добрый день Накладные    почему стоит страхование груза и срока У нас годовое письмо об отказе любого страхования до  года Весь  год счета приходили без страхованияПочему сейчас приходят счета со страховкой ,neutral
Опять обман с Вашей сторонымы не знаю что там сказал отправительу нас письменная договоренность с Вашим руководством есть годовое письмо и номера обращений что вы соглашаетесь просьба убрать страхование по накладной тем более услуга еще не оказана,negative
Вы нарушаете действующее законодательствоВ соответствии со статьей  Закона РФ от    ред От  О Защите прав потребителей Продавец исполнитель не вправе без согласия потребителя выполнять дополнительные работы услуги за плату,negative
При таких обстоятельствах включение Вами в состав оказываемых услуг по перевозке грузов услуг по страхованию грузов и сроков относительно которых между нами не было достигнуто соглашения является незаконным,neutral
на выходных гляну запись,neutral
спасибо за отличную подборку,positive
хороший дайджест,positive
это топ,positive
актуально,neutral
Ужас просто ужас уже почти месяц не могут решить мелочный вопрос Столько нерв и времени потратил Первый раз написал  октября в службу поддержки через  Далее уйму раз звонил и писал всё разъяснял отправлял на почту  все подтверждающие документы Последнее обращение   хотя этих обращений уже не счесть Сегодня ходил в офис по адресу Москва улица Лобненская с всё ещё раз тщательно разъяснил но никакого результата А в это время последний отправленный мною груз не может принять получатель изза вашей безответственности в решении моего вопроса а с завтрашнего дня уже идёт платное хранение,negative
Очень интересно где потерялся груз    должны были в пятницу перевести так сказал оператор  что перевозка со склада на склад занимает день   На дворе четверг  груза нет  Неужели с одного конца Москвы на другой так сложно перевезти одну коробку ,negative
Ничего не отправляйте данной компанией,negative
полезный контент,positive
было полезно,positive
Потеряли груз  с Красногорск в Тамбов ехать часов должен был приехать  Одни отписки что ищут даже не отвечают где он куда его отправили Не ответа не привета только отговорки ищет не с менеджером связи нет кто ищет,Negative
Ответьте хоть здесь,neutral
Написала сообщением присылают что отправили код но его нет,negative
Вы мне груз найдите почему не хотите ответить где он,neutral
Я часа жду только на вашем сайте ответа и  дней уже,neutral
Ситуация аналогичная видно это уже норма  должны были доставить и поднять в квартиру  водитель приехал отказался поднимать сказал уточнит в ТП а потом молча уехалС тех пор были обещания груз перемерять и привезти обратно Долго и то только после моих сообщений Когда муж сказал что груз наверняка потеряли  я и поверить не могла Поверить что в такой казалось бы серьёзной организации будут нагло врать как дети малые лишь бы прикрыть одно местоНо посылку таки потеряли ни одно из обещаний за всё время перезвонить дать ответ в течение х часов дня на следующий день выполнены не былиТолько скрипт и только когда я сама же и пишу с вопросамиОтветственности нольПотеряны нервы время посылка и деньги Браво,negative
обязательно подключусь,neutral
отличная тема,positive
С такой компанией сталкиваюсь впервые  первый опыт работы с ней и плачевный  должен был придти груз с Пензы с Пензы до Москвы шел  дня а вот с Москвы до Московской области  дней ниразу ни один менеджер не позвонил для согласования адресной доставки каждый день я названивал сама когда приехал наконецто мой груз тут началось как в Простоквашино посылка есть но я тебе ее не отдам докУментов нет накладная у водителя не распечатывается там провели с ним час все выяснял как это сделать на мою презентацию о сроках сказали все застраховано по срокам можете подать жалобу подала а воз и ныне там  ничего не предусмотрено сегодня буду писать досудебку не отправляете этой транспортной компании если не хотите себе проблем,negative
хороший вебинра,neutral
очень годно,positive
По стране теряете грузкуда в другие страны лезть Ответа от операторов не дождёшься сплошные отговорки Обращение ,negative
Мы тоже уже два месяца ждем по бассейну ,neutral
отличная статья,positive
хорошая статья,Positive
отличная статья,positive
было интересно почитать,neutral
Потеряли важный груз  Производство терпит убытки  Груз нашли больше недели назад и тишина никакой обратной связи  Звоню каждый день и каждый день слышу с Вами сегодня свяжутся ожидайте звонка сегодня ожидайте звонка в течении часа Я слышу это каждый день  Безобразное отношение к клиенту ,negative
Здравствуйте Уже дважды потеряли важные поставки одну через  недели все же нашли но не возвращают По телефону кормят завтраками и не решают проблему Поставка  и  Прошу срочно принять меры,negative
Ситуация аналогичная сколько будет проходить поиск неизвестно,neutral
Груз перепутали менеджеры разбираются хотя я знаю где находится мой груз оборудование дорогостоящее и всём пофиг,negative
Одни обещания что вопросом менеджер занимается связи с ними нет видимо боятся недовольных клиентов хотя Я чётко знаю где мой груз перепутаный находится всё равно ноль реакции одни бесполезные отписки люди просто не связываетесь с  этой конторой шарагой,negative
Здравствуйте а водитель когда подъедет позвонит на телефон или в домофон,neutral
Отправили посылку моему папе через вашу компанию мы сразу позвонили и отказались от страховки когда привезли посылку начали требовать деньги за страховку говорят да был звонок но страховку не отменили платите всю сумму мы потом подумаем возвращать вам деньги или нет если решим что да то едьте к нам опять  км пишите заявление потом когда нибудь перечислим Отвратительный сервис обязательно буду рассказывать при случае всем своим знакомым пусть подумают  обращаться или нет в такую компанию,negative
Как доставить товар возврат из России в Китай,neutral
ну круто,positive
вы молодцы,positive
Когда вы перестанете меня мучать Вы там чтото не так посчитали заставили меня заплатить  рублей а теперь выясняется что это ваш очередной косяк Но вы не можете просто так вернуть деньги Вы хотите чтобы я бегала по городу в поиске принтера и сканера заполняла ваше заявление от руки  век на дворе А теперь выясняется что там в бланке не указана сумма прописью и на этом основании меня ОТКАЗЫВАЮТ в возврате моих же денег которые вы ОШИБОЧНО меня заставили оплатить Вы вернете мои деньги или нет Какой такой закон есть что вы не будете возвращать мне деньги потому что я не прописала сумму прописью,Negative
Служба поддержки с ответами с вами свяжутся больше ничего не решает Когда вернете деньги,negative
Ребята вы там нормальные вообще Заказала вчера доставку в калькуляторе на  кг больше чем вы потом посчитали и сумма была  После прихода груза на пункт и взвешивания сумма выросла до  Вы там лишний нолик приписали или как За  куба и  кг по одному городу  Номер заказа    Несколько раз перепроверила уже с вашими померянными на пвз торпедо Воронежразмерами и весом и выходит всегда сумма погрузка была своими силами Упаковка не требовалась Вы что творите,Negative
благодарю за хороший сервис,positive
Вообще чёткая компания,positive
 дней жду ответ по обращению  слушая заскриптованные отговорки поддержки там живые люди есть вообще или только ботыМожет здесь удастся какуюто информацию получить,negative
Да компания мягко говоря  плохая По телефону мне озвучили цену доставки    а потом выяснилось что стоимость   и об изменении выяснилось только когда груз пришел Теперь уже три недели молча рассматривают мою претензию  ,negative
Я вообще сижу жду когда груз просто заберут  Позвонил водитель и сказал что наверно у меня очень большой груз и он ничего забирать не будет Должны были забрать сегодня до  ВОЗ ИНЫНЕ ТАМ ,negative
Работали с Деловые линии несколько лет но в последнее время качество предоставляемых услуг ухудшилось За пару месяцев от нас оставлено несколько обращений и претензия Но последняя ситуация заставляет нас задуматься о том что бы сменить транспортную компанию  ноября заказала адресную доставку груза  на  ноября уточнила попадаем ли под условия услуги бесплатное хранение Оператор сообщил что попадаем под эти условия   октября позвонила в Деловые линии и попросила если попадаем под условия услуги бесплатное хранение то перенести на  ноября Оператор сообщил что и  ноября попадаем под эти условия и сообщила что перенесла доставку на  октября   октября нам не был доставлен груз При моем вопросе Где груз дали ответ Недоработка логистов Предложили доставить груз  ноября но сообщили что мы должны оплатить платное хранение тк уже не попадаем под условия бесплатное хранение и даже если бы доставили  ноября то тоже не попали бы под условия потому что уже  ноября сумма за хранение составила  руб Нас данные условия не устроили Почему мы должны платить за то что оператор дезинформировал  ноября оставила обращение по этому поводу  ноября весь день звонила узнать результат моего обращения был один ответ С вами свяжутся в течение часа В результате позвонили только в  что бы сообщить что есть два варианта  оплатить платное хранение получить груз и подать претензию  подать претензию которая будет рассматриваться до  дней но наш груз все это время будет находиться на складе Деловые линии Возмущает работа операторов и скорость обработки обращений и претензий,negative
отличная акция,positive
Очень плохая работа Заплатили за грузчиков а приехал один водитель и сам один разгружать начал Чуть всё не разбил Пришлось нам самим разгружать Операторы толком сказать ничего не могут Зачем платили если сами выгрузили всё,negative
Спасибо за актуальную инфу,positive
ВОТ ТАК РАБОТАЕТ СТРАХОВАЯ ГРУЗ ПОТЕРЯЛИ НАШЛИ ПРИЕХАЛ НА  ДНЕЙ ПОЗЖЕДобрый день Вы обратились в ООО Деловые Линии с претензией по факту опоздания груза при перевозке по накладной,neutral
много полезного спасибо,positive
Оставила миллион претензий А они к тому же переделали документацию якобы у меня грузчиков не было на адресе и я их не оплачивала Сроки задержали мебель вся расколота и вздута от влаги Увидимся в суде милые,negative
Еще и комментарии здесь удаляют,negative
Вчера говорят да извините мы забыли отправить грузчиков а сегодня так у вас их не было  круто молодцы,neutral
И это малая часть Все вещи испорченные сохранила до полного выяснен я,neutral
спасибо за полезную информацию,neutral
мая г не можете решить вопрос мало того обманули с оплатой вместо   выставили счет на  оплатила хорошо  Контора ваша осталось должна  когда мне вернете деньги Акты ваши и заявления  что по сто раз подписывать Не отвечают вопрос не решают шлете акты пустые на подпись Причем клиент неоднократно о себе напоминает в ответ тишина Не забудьте удалить комментарий Х,negative
Сначала потеряли груз потом повредили далее нарушили сроки доставки Составил обращение две недели никакой реакции Сверху создали ещё два обращения на бездействие Оператор пытается связаться с менеджером и руководителем никто трубки не берет Разводят руками приносят извинения просят подождать ещё Не рекомендую данную ТК,negative
Добрый день пожалуйста верните своих сотрудников и пусть они уберут за собой срач свой Который они оставили г Оренбург Терешковой  А Видео есть,negative
Груз  от  Ориентировочная дата прибытия  Прибыл На Парнас Хотя в накладной указано  Кубинская И с тех пор груз утерян гдето перемещается уже  дня По Питеру Звоним  никакой информации ГДЕ МОЙ ГРУЗ,negative
Прошла еще неделя когда деньги вернете Пол года вопрос открыт,negative
